Date,Company,Path,SpecificDate,Children
2011Q2,XOM,/pure_articles/XOM/2011-07-28T15:00:20-04:00_Exxon Mobil Management Discusses Q2 2011 Results - Earnings Call Transcript.html,2011-07-28T15:00:20-04:00,FALSE
2011Q3,AAPL,/pure_articles/AAPL/2011-07-19T21:40:10-04:00_Apple Management Discusses Q3 2011 Results - Earnings Call Transcript.html,2011-07-19T21:40:10-04:00,FALSE
2011Q3,ABBV,,,FALSE
2011Q3,ABT,/pure_articles/ABT/2011-10-19T15:20:08-04:00_Abbott Laboratories' CEO Discusses Q3 2011 Results - Earnings Call Transcript.html,2011-10-19T15:20:08-04:00,FALSE
2011Q3,ACN,/pure_articles/ACN/2011-06-23T21:30:18-04:00_Accenture plc's CEO Discusses Q3 2011 Results - Earnings Call Transcript.html,2011-06-23T21:30:18-04:00,FALSE
2011Q3,ADBE,/pure_articles/ADBE/2011-09-20T20:20:10-04:00_Adobe Systems' CEO Discusses Q3 2011 Results - Earnings Call Transcript.html,2011-09-20T20:20:10-04:00,FALSE
2011Q3,AMD,/pure_articles/AMD/2011-01-20T02:05:12-05:00_Xilinx's CEO Discusses Q3 2011 Results - Earnings Call Transcript.html,2011-01-20T02:05:12-05:00,TRUE
2011Q3,AMD,/pure_articles/AMD/2011-10-27T21:10:15-04:00_Advanced Micro Devices' CEO Discusses Q3 2011 Results - Earnings Call Transcript.html,2011-10-27T21:10:15-04:00,FALSE
2011Q3,AMZN,/pure_articles/AMZN/2011-10-25T21:21:41-04:00_Amazon.com Management Discusses Q3 2011 Results - Earnings Call Transcript.html,2011-10-25T21:21:41-04:00,FALSE
2011Q3,AVGO,/pure_articles/AVGO/2011-08-23T22:31:33-04:00_Avago Technologies CEO Discusses F3Q2011 Results - Earnings Call Transcript.html,2011-08-23T22:31:33-04:00,FALSE
2011Q3,AVGO,/pure_articles/AVGO/2011-10-25T20:20:07-04:00_Broadcom's CEO Discusses Q3 2011 Results - Earnings Call Transcript.html,2011-10-25T20:20:07-04:00,TRUE
2011Q3,BAC,/pure_articles/BAC/2011-10-18T15:10:11-04:00_Bank of America's CEO Discusses Q3 2011 Results - Earnings Call Transcript.html,2011-10-18T15:10:11-04:00,FALSE
2011Q3,CMCSA,/pure_articles/CMCSA/2011-11-02T12:20:13-04:00_Comcast's CEO Discusses Q3 2011 Results - Earnings Call Transcript.html,2011-11-02T12:20:13-04:00,FALSE
2011Q3,COST,/pure_articles/COST/2011-05-25T21:10:14-04:00_Costco Wholesale Management Discusses Q3 2011 Results - Earnings Call Transcript.html,2011-05-25T21:10:14-04:00,FALSE
2011Q3,CRM,,,FALSE
2011Q3,CSCO,/pure_articles/CSCO/2011-05-11T22:00:18-04:00_Cisco Systems' CEO Discusses Q3 2011 Results - Earnings Call Transcript.html,2011-05-11T22:00:18-04:00,FALSE
2011Q3,CVX,/pure_articles/CVX/2011-10-20T13:50:18-04:00_Noble Energy's CEO Discusses Q3 2011 Results - Earnings Call Transcript.html,2011-10-20T13:50:18-04:00,TRUE
2011Q3,CVX,/pure_articles/CVX/2011-10-28T15:10:11-04:00_Chevron Management Discusses Q3 2011 Results - Earnings Call Transcript.html,2011-10-28T15:10:11-04:00,FALSE
