Unnamed: 0,Ticker,Quarter,Date,Total_Words,Sum,Mean,Median,Std,%Positive,%Negative,%Neutral,Flesch score,Polysyllable number per sentence
1500,ABT,2019Q1,2019-04-17,5014,975.0,0.19445552453131232,0.0,0.6529721310638867,11.647387315516553,1.2564818508177105,87.09613083366574,49.15,3.77
1544,ABT,2019Q2,2019-07-17,5056,974.0,0.19264240506329114,0.0,0.6675117735645911,11.313291139240508,1.3251582278481011,87.3615506329114,54.41,3.57
1592,ABT,2019Q3,2019-10-16,5001,1064.0,0.21275744851029796,0.0,0.677292562307432,11.89762047590482,1.179764047190562,86.92261547690462,55.79,3.41
1638,ABT,2019Q4,2020-01-22,5785,1206.0,0.20847018150388935,0.0,0.6797537591525018,11.840968020743304,1.2618841832324978,86.89714779602421,53.4,3.54
1685,ABT,2020Q1,2020-04-16,5228,730.0,0.1396327467482785,0.0,0.5726480491461576,8.664881407804131,1.396327467482785,89.93879112471308,41.31,4.75
1732,ABT,2020Q2,2020-07-16,5361,861.0,0.16060436485730273,0.0,0.6251447059135297,9.550457004290244,1.510912143256855,88.9386308524529,42.4,5.05
1777,ABT,2020Q3,2020-10-21,4936,1027.0,0.20806320907617504,0.0,0.6559399057344191,11.851701782820095,1.03322528363047,87.11507293354944,47.14,4.14
1826,ABT,2020Q4,2021-01-27,5601,939.0,0.1676486341724692,0.0,0.6102660328133584,9.623281556864846,1.0890912337082663,89.2876272094269,39.59,5.1
1874,ABT,2021Q1,2021-04-20,5155,1090.0,0.21144519883608148,0.0,0.659771002074403,11.212415130940833,0.6789524733268671,88.10863239573229,37.93,5.12
1918,ABT,2021Q2,2021-07-22,4465,857.0,0.19193729003359464,0.0,0.6347377154327344,10.548712206047034,0.8958566629339306,88.55543113101903,39.36,4.95
1968,ABT,2021Q3,2021-10-20,5074,957.0,0.18860859282617265,0.0,0.6382420873670244,10.938115884903429,1.1233740638549468,87.93851005124162,55.91,3.14
2016,ABT,2021Q4,2022-01-26,4898,856.0,0.17476521028991426,0.0,0.6252466909500219,10.391996733360557,1.3679052674561043,88.24009799918335,50.05,3.56
63,ACN,2011Q2,2011-03-24,5345,944.0,0.17661365762394762,0.0,0.6186468578527571,10.720299345182411,1.216089803554724,88.06361085126288,43.29,3.42
102,ACN,2011Q3,2011-06-23,5621,1052.0,0.18715531044298167,0.0,0.6261093518997358,10.994484967087708,1.031844867461306,87.973670165451,42.43,3.51
145,ACN,2011Q4,2011-09-27,5913,973.0,0.16455268053441569,0.0,0.5878348154632038,9.859631320818538,0.9301538981904278,89.21021478099104,45.28,3.18
187,ACN,2012Q1,2011-12-15,5881,1015.0,0.1725896956299949,0.0,0.6015599702258615,10.236354361503146,0.9352150994728788,88.82843053902397,47.48,2.83
